orcid	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0000-0001-5000-0584	-0.16636479	0.4527296	0.2739756	-0.16971245	0.06644224	0.06916212	0.12040261	0.12038559	0.13999318	0.26257235	-0.1314753	0.25122458	-0.18011646	-0.11196108	0.037490603	-0.12265886	0.10137482	-0.18987347	-0.024341255	0.16395177	0.02807061	0.08214608	0.0723939	0.12417976	-0.0013266233	0.32403022	0.00076645217	-0.28225964	-0.10380078	0.20923738	0.22561553	-0.053022306
0000-0001-5003-9278	0.1632118	0.29753178	0.016145386	-0.1390732	-0.07994505	-0.33306137	0.13646801	0.10298405	0.32797793	0.18341525	-0.104993954	0.06617438	-0.07279525	-0.3719217	0.3310586	0.03172753	-0.1315886	-0.1440851	-0.26647097	0.006664709	-0.11646564	-0.07190452	0.0008614218	0.034746982	0.3119851	0.03672388	0.14175056	-0.062759176	-0.020982085	0.06121335	-0.14665495	-0.1742402
0000-0001-5013-0442	-0.10084267	-0.17969432	0.17497796	-0.0001675657	0.24957521	0.11910583	-0.23250178	0.33588618	-0.27825284	0.07298553	0.32011333	-0.0041227075	0.0029872751	0.05932501	0.020415958	0.0380555	0.07719555	-0.02002299	0.27839985	-0.28321323	0.09894376	-0.110488005	0.06395561	-0.08139466	0.17680216	-0.30110458	0.079660505	0.3581801	0.03610793	0.1633744	0.075197294	0.077055104
0000-0001-5013-9543	-0.08688449	0.38885325	-0.015523493	-0.051017765	0.12574388	-0.42400143	-0.06463596	0.028592477	0.3923432	0.11810662	-0.022897214	0.087743506	-0.017942945	-0.32440865	-0.002414094	-0.0077706715	-0.19070618	0.068613514	-0.20150755	-0.065997615	0.003469654	0.16629635	0.18867792	-0.081201196	-0.01041474	0.21032833	0.050978683	-0.31959975	-0.22206898	0.008153724	0.02975334	-0.028787771
0000-0001-5020-5256	0.3747942	0.0809978	-0.09335266	-0.028724836	0.07282144	0.1648047	-0.2312399	0.011401008	0.21638222	0.20544173	-0.02647426	0.31127557	0.3253893	-0.13017938	-0.030663049	-0.031994794	0.3531313	-0.019722868	0.052538775	-0.13292985	-0.06694756	0.13778171	0.12822808	0.11659206	0.18887311	-0.19586879	0.034422405	0.094203144	-0.23600905	-0.29944074	-0.124001294	-0.045761257
0000-0001-5028-2083	-0.20299919	-0.28482428	-0.1771514	0.16500373	-0.26520014	0.16921271	0.13474597	0.07373085	0.23829317	-0.19579503	0.02924593	-0.08832561	-0.2584776	0.032504037	-0.17460766	-0.0073606917	0.091949254	-0.11192102	-0.12741692	-0.05066281	-0.044735894	0.04993175	0.377008	-0.13152803	-0.12660359	0.11624955	-0.26188928	0.28039804	0.08388175	-0.045862906	-0.29024684	0.14307359
0000-0001-5028-5807	-0.18906459	0.088952295	0.06268065	0.07490304	0.14786738	-0.15072632	0.09709519	-0.11130483	0.312121	-0.04096265	0.024284849	0.32581148	0.106644005	-0.22441761	0.057206262	0.030827228	0.13691431	-0.29962885	0.015201052	0.27757365	0.005221237	0.2183566	0.25700745	-0.07650304	-0.13456175	0.06381373	0.3680131	-0.24714139	-0.064997144	0.07439009	-0.15971434	-0.2218822
0000-0001-5049-9354	0.05631565	-0.0027183762	-0.10755773	-0.052487917	-0.22544728	0.1935558	-0.048811086	-0.22656208	0.035774942	-0.12545347	0.0667888	0.015184463	-0.2079023	0.0019997188	-0.20782018	-0.046908222	0.029955797	0.07532793	-0.015485801	-0.33750004	0.34961843	0.19337258	0.24363215	0.13816887	-0.34661114	0.16923694	-0.17915638	0.36529687	0.0985087	-0.14088556	-0.10396097	-0.1292215
0000-0001-5052-066X	0.21290763	0.31034493	0.19776368	-0.20514794	-0.23365642	-0.03557257	-0.058719654	-0.18168457	0.29609072	-0.05832862	0.056241147	0.10033082	-0.16067584	-0.33157292	0.14935027	-0.061036922	-0.02709355	-0.31208584	-0.09693701	-0.0060566817	0.0017827003	-0.2844918	0.12026382	0.14095093	-0.08990445	0.046288356	-0.21920773	-0.005332926	-0.053856008	0.23903027	0.15863772	0.22893468
0000-0001-5054-3271	-0.38741338	0.061096	-0.18214557	-0.1140038	0.24049331	-0.23615983	0.22218731	-0.30430928	-0.07193926	-0.026823869	0.27266988	-0.06936491	0.07699643	0.038876362	0.15566535	-0.067957245	-0.12774453	-0.24850321	0.09852012	-0.17212991	-0.078616954	-0.048665535	-0.10663605	-0.1577533	-0.2760514	-0.12233273	0.14488037	-0.099896915	0.3223125	0.15300977	-0.015277746	-0.105815805
