orcid	wikidata	twitter	github
0000-0003-0138-0167	Q95628163	doc_peper	
0000-0002-0464-7050	Q92527387		
0000-0001-8362-1248	Q97638696		
0000-0002-2187-6277	Q46814559		
0000-0002-7239-1675	Q47307119		
0000-0003-2142-4606	Q49557184		
0000-0003-0485-9069	Q56558760		
0000-0003-3508-6599	Q92990756	AndyJBoyce	
0000-0003-2804-4673	Q87171879		
0000-0001-8764-3022	Q91015008	thermalization	
0000-0002-1402-6995	Q89559932		
0000-0002-1797-5467	Q89624944		
0000-0003-3722-676X	Q38589510		
0000-0003-0234-0829	Q90916381		
0000-0001-5980-4538	Q64006901		
0000-0002-1116-4006	Q46804284	jonlevyBU	
0000-0002-0727-3242	Q57614394	freddyeescorcia	
0000-0003-2992-3805	Q89189116	marcodelmastro	marcodelmastro
0000-0003-2199-6129	Q44547557		
0000-0002-6064-5316	Q98894178		
0000-0002-8752-037X	Q57340678		
0000-0001-6165-7696	Q21392957	debivort	
0000-0002-5526-0809	Q93146540		
0000-0001-6120-7695	Q42825594		
0000-0002-9910-8972	Q46071086		
0000-0003-2217-9331	Q86530354		
0000-0003-4860-384X	Q59260566		
0000-0001-5245-0570	Q88042955		
0000-0002-2857-0529	Q56510782		
0000-0002-2807-8796	Q56604096		
0000-0002-8318-5383	Q57159659		
0000-0001-6579-6941	Q42704191		ypriverol
0000-0002-5466-2814	Q57525581		
0000-0001-8583-4300	Q83366677		
0000-0002-1368-032X	Q51638888		
0000-0003-4016-9428	Q30513558		
0000-0001-7879-4531	Q57306641	benmarwick	
0000-0003-3673-3938	Q41780355		
0000-0003-2952-9701	Q41888258		
0000-0002-1003-5675	Q8134165		
0000-0002-0005-6907	Q58084496	rsarava	
0000-0001-6605-2362	Q42852432		
0000-0001-5441-8638	Q57008873		
0000-0002-4158-9793	Q95647352		
0000-0002-6231-5302	Q54288427		
0000-0003-1581-2899	Q88957305	Prokaryota	
0000-0001-8391-370X	Q55445089	poisondartfrog7	
0000-0002-1922-8107	Q57542912	Jake_in_the_Lab	JacobRPrice
0000-0003-1404-4680	Q59696319		
0000-0002-4821-2294	Q56942550		
0000-0001-6935-4913	Q56992255		
0000-0003-1018-0693	Q61361312		
0000-0002-1516-9306	Q60299811	RasmusPagh1	
0000-0003-0595-2898	Q7926167	vmontori	
0000-0001-7064-9209	Q91679153		
0000-0001-5251-8168	Q91760054		
0000-0001-7015-0512	Q63763775	pcr_guy	pablocarderam
0000-0002-0463-8904	Q64855739		
0000-0002-6036-4514	Q93064890		
0000-0002-0078-2212	Q56842450	firefoxx66	
0000-0002-9512-4393	Q18763964		
0000-0003-3940-8567	Q58412322	drkeithwilson	
0000-0003-3709-5341	Q91901165		
0000-0002-4964-3264	Q87158685		
0000-0002-8583-5714	Q56956654		
0000-0002-5589-7754	Q48242902	froggleston	
0000-0003-2626-594X	Q41046516		
0000-0003-1242-4401	Q57039700		
0000-0003-4934-8887	Q57207408		
0000-0003-0841-0015	Q57614506		
0000-0001-7693-1635	Q41800410		
0000-0002-7714-5801	Q58257427		
0000-0001-6038-3785	Q42292508		
